rank,name_a,name_b,smi_a,smi_b,tox_pred,tox_unc,perm_pred,perm_unc,iri_pred,iri_unc,composite_score
3277,"LACTIC ACID, L-",TROMETHAMINE,C[C@H](O)C(=O)O,NC(CO)(CO)CO,40.81086666666666,2.1995227765232253,40.99149999999989,1.08884946288824,71.85696424675342,0.7682783836379502,0.49315833367574585
3278,LACTIC ACID,TROMETHAMINE,CC(O)C(=O)O,NC(CO)(CO)CO,40.81086666666666,2.1995227765232253,40.99149999999989,1.0888494628882412,71.85696424675342,0.7682783836379562,0.4931583336757458
3279,ISOPROPYL ALCOHOL,TRIETHYL CITRATE,CC(C)O,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,64.68800000000002,3.370259669521031,48.55344799999995,1.0550349701730088,57.74904038095236,1.794441322441412,0.49315211284517085
3280,DL-LACTIDE AND GLYCOLIDE (50:50) COPOLYMER 12000 ACID,NITRIC ACID,CC1OC(=O)C(C)OC1=O.O=C1COC(=O)CO1,O=[N+]([O-])O,49.3216,2.5365303896814986,42.568839999999895,0.998033667263787,65.05366799422794,1.325181337723876,0.49308508573328463
3281,DIPROPYLENE GLYCOL,FUMARIC ACID,CC(CO)OC(C)CO.CC(O)COCC(C)O,O=C(O)/C=C/C(=O)O,49.400800000000004,2.350625327675831,42.837075999999925,1.3107949826818817,65.25290568731269,1.3502736072361337,0.4930611114210022
3282,DIPROPYLENE GLYCOL,MALEIC ACID,CC(CO)OC(C)CO.CC(O)COCC(C)O,O=C(O)/C=C\C(=O)O,49.400800000000004,2.350625327675831,42.837075999999925,1.3107949826818839,65.25290568731269,1.3502736072361388,0.4930611114210021
3283,"1,4-SORBITAN",PHENOXYETHANOL,OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,OCCOc1ccccc1,44.179066666666664,1.8222135306025777,31.463571999999964,1.1037351505501618,54.20573742857137,0.4154228407326472,0.49304555195411437
3284,"1,4-SORBITAN",ACETONITRILE,OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,CC#N,42.297000000000004,1.8143096097414013,39.45182399999999,1.1651257211065231,67.59618474603175,1.4581139476845262,0.49304037451607996
3285,DIMETHYL ISOSORBIDE,ETHYL ACETATE,CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,CCOC(C)=O,57.1924,2.875679258888238,45.85845599999987,1.325105375444527,61.945718396825264,1.1113568664910092,0.49300093888076574
3286,N-ACETYL-D-ALANINE,SORBIC ACID,CC(=O)N[C@H](C)C(=O)O,C/C=C/C=C/C(=O)O,44.5544,1.0954841851893624,47.39470799999985,1.245170637430864,78.88583871184377,1.0987079550758931,0.49298224437687904
